[0] 5-0-1-5-0-5-0-0-0-0
[1] 5-3-3-25-17-9-0-8-0-0
[2] 3-0-1-0-24-5-0-3-0-0
[3] 4-2-1-9-0-2-0-11-0-0
[4] 3-0-1-20-24-1-0-9-0-1
[5] 0-2-3-21-9-7-0-12-0-0
[6] 0-3-1-20-18-0-0-7-1-0
[7] 3-3-3-39-6-5-0-6-0-0
[8] 0-2-3-36-15-2-0-11-0-0
[9] 3-2-1-21-1-9-0-0-0-0
[10] 3-0-1-23-25-10-0-8-0-0
[11] 4-0-3-17-9-5-0-10-0-0
[12] 0-3-1-27-27-5-0-7-0-0
[13] 3-3-0-20-17-6-0-5-0-0
[14] 5-0-0-23-16-3-0-10-0-0
[15] 3-3-1-3-16-3-0-9-0-0
[16] 0-2-0-6-17-9-0-10-0-1
[17] 5-3-3-36-11-11-0-1-0-0
[18] 5-2-1-29-5-1-0-7-0-0
[19] 5-2-0-0-11-2-1-2-0-0
[20] 3-0-1-30-17-10-0-16-0-0
[21] 3-0-1-37-19-0-0-8-2-0
[22] 5-0-3-4-21-6-0-16-0-0
[23] 3-3-3-8-6-2-0-7-0-0
[24] 3-0-0-22-6-2-0-15-0-0
[25] 3-0-3-7-3-7-0-2-0-0
[26] 3-3-0-15-28-2-0-3-0-0
[27] 4-2-0-37-23-6-0-13-0-0
[28] 6-0-3-8-25-11-1-1-0-0
[29] 6-0-3-17-6-1-0-3-0-0
[30] 6-3-3-46-18-0-0-5-1-0
[31] 5-3-1-13-4-9-0-12-0-0
[32] 4-0-0-39-25-6-0-1-0-0
[33] 5-1-1-10-16-7-0-9-0-0
[34] 6-0-0-23-20-1-0-17-0-0
[35] 6-0-0-21-0-3-0-13-0-0
[36] 5-2-3-9-6-1-0-8-0-0
[37] 4-0-3-15-16-1-0-4-0-0
[38] 4-1-1-2-1-6-0-0-0-0
[39] 5-0-3-37-25-3-0-9-0-0
[40] 5-0-3-38-26-3-0-9-0-0
[41] 6-1-3-25-28-8-0-15-0-0
[42] 6-2-3-24-17-3-0-14-0-0
[43] 3-2-1-18-2-5-0-3-0-0
[44] 5-2-1-35-1-2-1-0-0-0
[45] 0-0-1-8-5-1-0-12-0-0
[46] 4-2-1-3-20-9-0-14-0-0
[47] 3-2-3-18-20-1-0-6-0-0
[48] 0-1-3-19-8-5-0-8-0-0
[49] 0-2-0-16-28-1-0-0-0-0
